order_id,product_id
9648,9
9582,1
3784,13
8384,24
5538,5
446,12
2546,4
4738,4
1773,3
4383,23
8597,7
4701,22
3744,15
125,13
9278,3
1507,3
2068,13
6268,4
9122,2
2787,23
3482,5
451,14
8128,6
7507,23
8318,25
2034,19
4720,22
2674,4
2830,4
8143,20
7089,25
8995,23
8597,16
7077,25
1116,14
1556,7
1268,8
8994,11
2394,23
6938,5
5260,11
4840,23
5401,12
6153,17
1153,7
7792,10
3316,23
3325,25
1027,9
2376,5
4355,20
4047,13
9247,24
3344,19
2565,4
9576,17
5779,11
6283,14
7335,4
7636,12
4602,17
8162,1
2951,21
482,25
8657,1
15,1
6183,7
3803,13
3520,12
8474,4
3777,2
6623,9
4565,22
3680,22
4574,10
817,14
5961,4
1291,8
6882,19
1983,22
6025,5
5951,14
7846,3
8513,25
6168,23
5719,18
6068,19
1596,25
7980,10
5075,4
6421,11
3227,11
3349,15
5843,5
6252,8
6060,2
6430,22
8441,1
3304,15
6167,11
6469,7
4344,19
7064,3
7471,6
7378,18
3691,20
5051,20
5493,6
5418,18
5519,23
572,4
1364,23
8515,2
4170,10
9835,10
8056,10
9910,1
9469,12
9615,17
7711,6
7039,22
6485,24
9114,25
188,9
5173,1
5809,15
7019,22
135,10
8239,13
8439,6
3214,6
4076,25
6219,4
2531,1
3790,1
7864,10
5456,14
379,14
8946,13
3346,22
6801,24
1001,15
6155,25
5362,13
7901,19
3796,3
7792,16
1303,8
7743,8
5871,23
6700,6
5256,22
5335,25
9546,12
5421,24
4521,22
558,21
4054,15
6503,9
5504,12
6233,12
1846,24
9286,5
6987,20
7038,18
6195,6
2398,15
9755,25
7523,19
7173,3
9237,19
6873,17
7374,17
116,18
2691,22
8690,11
4939,9
9582,13
3696,24
5661,17
6562,17
7594,9
8471,4
8506,23
7081,25
7221,25
3331,21
3735,8
4062,6
8062,13
3814,25
8746,9
5727,3
1085,17
2603,15
1478,21
9459,9
3486,5
3539,11
7825,16
9556,17
5941,23
7396,15
7426,13
191,5
1670,15
816,5
1658,13
1862,3
4899,14
9638,1
8202,5
4926,14
7354,1
5211,6
9472,7
5884,12
9802,7
3484,16
4900,17
5401,11
7547,2
4944,23
1560,15
5459,10
4508,22
9745,22
936,22
9009,17
9116,7
2942,12
5910,17
2570,16
4165,17
9775,16
2527,14
5876,19
7146,9
500,14
7462,4
9862,6
152,21
7020,5
9838,18
2369,18
7847,18
7860,22
8034,17
2096,16
4372,23
4357,5
2325,13
7740,24
2084,12
4286,7
4634,22
8850,1
347,17
6141,2
1691,8
5504,22
2780,17
8446,9
2276,25
1212,21
5707,1
6938,5
2780,11
9233,6
481,10
74,7
9489,18
1904,2
9372,6
2746,6
6574,19
8631,1
4847,6
7367,25
6147,2
1672,3
7602,1
9334,13
2885,22
822,20
6996,9
2199,7
5807,10
6570,5
7857,8
7602,3
225,14
6746,23
7141,22
8969,7
4435,25
8792,1
2560,6
536,16
9228,14
8068,4
3029,4
4162,19
131,1
6911,18
274,19
7424,14
9318,15
833,14
513,24
8422,18
74,1
9005,7
9155,19
6961,7
2758,13
1965,20
1163,3
2859,16
2971,12
6577,12
9579,22
4079,19
7307,21
1413,19
4151,1
5356,7
7993,16
583,24
3541,21
5062,21
2322,25
6198,21
2314,7
6202,24
5362,8
3191,21
3986,7
5333,5
3769,11
5793,9
1986,3
2954,15
105,23
509,25
9200,4
4099,23
2192,21
6774,12
6398,19
5879,3
4991,20
4884,23
5985,5
5387,20
1300,20
8541,14
4985,15
4256,21
5636,4
5522,6
7789,1
5927,15
4024,9
8050,14
8840,16
583,13
4592,17
5241,25
256,15
1524,2
3401,23
3318,3
6282,25
7822,5
1803,8
8001,15
7033,2
3777,16
9531,13
3296,16
9664,12
6322,1
6914,12
3367,20
8105,17
4487,22
715,21
844,12
1381,17
8405,16
738,20
1129,14
2737,3
4473,16
4326,9
5459,7
8057,9
4363,15
10004,6
6542,1
8659,16
992,23
8081,3
6566,24
4137,9
9415,19
9431,5
8609,25
5985,3
7835,4
4061,13
2883,11
829,13
6181,22
2584,14
6931,5
8194,23
9140,13
1379,5
7770,8
8710,25
3236,12
2661,14
318,5
9166,24
590,14
83,20
6849,10
6043,17
8257,23
3897,20
2647,7
9886,19
8912,17
4277,18
9543,12
2866,18
4662,9
367,24
8596,7
9725,4
2117,9
9654,4
4249,7
323,10
6078,2
4129,16
3408,11
3763,2
7560,11
3081,14
2943,2
3830,18
8569,24
9311,25
9820,24
3201,12
7903,2
2698,18
8057,7
8879,19
3763,10
6594,2
5291,13
684,22
6631,4
513,15
3737,17
6854,9
2386,13
1947,23
1771,15
8157,23
8788,20
954,19
469,10
3904,10
8027,15
827,2
4832,21
6254,23
4957,18
2323,11
9808,6
6005,2
7904,5
1281,9
6761,5
3927,6
6328,2
1016,25
3521,22
3593,19
5274,22
453,16
7571,18
5432,25
7,3
8196,19
9810,7
700,16
4771,25
5875,17
4840,6
465,16
9890,13
3600,1
6236,25
5973,21
710,6
6900,10
3747,9
4384,2
5541,13
1579,19
3472,15
9192,10
5978,2
3587,25
6602,8
8585,20
8653,13
9097,12
688,1
5857,17
3201,8
1067,6
6437,20
5837,6
9188,1
5851,25
5505,10
3054,11
3126,22
5582,11
3599,17
358,4
3976,18
4341,8
5613,15
3922,21
5568,22
1262,24
4179,6
7874,13
8437,2
3418,23
8909,24
2266,3
1806,24
9542,20
2908,18
9006,2
5874,25
8789,25
1390,17
4728,25
1368,10
5488,20
1975,15
9600,17
2229,2
2452,18
8806,7
8811,2
9301,15
2535,25
2573,2
6727,14
6001,7
935,22
7839,7
891,5
5896,20
8614,22
3884,3
7177,20
2923,16
618,14
1589,18
2974,20
5852,8
1022,6
5233,15
8507,15
2881,25
326,24
1963,4
2212,9
4853,9
5930,10
9974,21
5227,19
7420,22
9291,7
8667,22
2594,20
3167,15
2480,2
5815,6
4786,13
2044,7
4977,17
4726,1
1464,20
8289,12
2761,9
9137,8
