order_id,customer_id,purchase_date
1,219,2022-12-30
2,153,2022-05-21
3,189,2022-07-17
4,172,2022-01-26
5,212,2022-06-09
6,89,2022-07-05
7,84,2022-02-04
8,222,2022-10-21
9,69,2022-10-03
10,132,2022-10-09
11,99,2022-12-30
12,106,2022-09-28
13,211,2022-11-29
14,145,2022-02-20
15,22,2022-07-01
16,67,2022-01-27
17,232,2022-09-06
18,5,2022-11-18
19,100,2022-09-05
20,31,2022-10-31
21,174,2022-03-28
22,53,2022-03-20
23,132,2022-05-29
24,26,2022-06-16
25,119,2022-12-27
26,226,2022-05-07
27,104,2022-03-26
28,54,2022-04-25
29,33,2022-08-25
30,177,2022-04-24
31,211,2022-03-31
32,172,2022-01-25
33,40,2022-08-09
34,2,2022-05-08
35,193,2022-06-25
36,33,2022-02-21
37,161,2022-11-15
38,233,2022-07-09
39,64,2022-09-12
40,147,2022-10-24
41,171,2022-09-22
42,48,2022-09-20
43,4,2022-10-05
44,23,2022-08-03
45,118,2022-02-26
46,221,2022-05-16
47,27,2022-03-03
48,199,2022-01-29
49,197,2022-12-18
50,24,2022-05-29
51,94,2022-09-30
52,139,2022-10-16
53,162,2022-08-15
54,68,2022-02-24
55,71,2022-02-24
56,45,2022-08-02
57,212,2022-02-25
58,160,2022-10-01
59,8,2022-03-03
60,4,2022-03-22
61,66,2022-02-23
62,33,2022-05-05
63,150,2022-09-16
64,60,2022-07-06
65,181,2022-03-17
66,54,2022-05-24
67,232,2022-11-05
68,220,2022-05-11
69,221,2022-05-15
70,196,2022-01-10
71,232,2022-09-06
72,52,2022-11-19
73,135,2022-07-17
74,12,2022-05-31
75,217,2022-12-08
76,145,2022-12-23
77,68,2022-08-28
78,98,2022-01-23
79,188,2022-02-02
80,69,2022-07-21
81,205,2022-10-28
82,213,2022-04-18
83,44,2022-05-15
84,59,2022-12-20
85,143,2022-03-01
86,215,2022-12-16
87,217,2022-05-15
88,79,2022-09-18
89,54,2022-05-30
90,93,2022-11-24
91,139,2022-01-21
92,204,2022-02-20
93,219,2022-08-02
94,175,2022-09-22
95,168,2022-05-24
96,63,2022-02-17
97,35,2022-12-27
98,83,2022-04-10
99,169,2022-09-27
100,215,2022-09-15
101,113,2022-02-15
102,147,2022-06-03
103,102,2022-07-17
104,147,2022-11-26
105,46,2022-06-03
106,138,2022-03-02
107,78,2022-04-27
108,128,2022-04-20
109,37,2022-03-26
110,167,2022-10-24
111,124,2022-05-01
112,101,2022-03-31
113,121,2022-04-17
114,226,2022-05-03
115,138,2022-12-26
116,57,2022-08-02
117,208,2022-10-15
118,104,2022-03-08
119,108,2022-04-25
120,148,2022-11-04
121,123,2022-11-29
122,58,2022-03-11
123,111,2022-03-21
124,42,2022-12-09
125,63,2022-01-12
126,156,2022-04-28
127,133,2022-08-03
128,14,2022-01-17
129,108,2022-08-07
130,51,2022-06-10
131,112,2022-07-18
132,105,2022-09-08
133,130,2022-02-28
134,30,2022-04-08
135,98,2022-10-17
136,228,2022-01-26
137,74,2022-10-09
138,32,2022-11-21
139,38,2022-03-21
140,232,2022-11-10
141,2,2022-07-31
142,171,2022-02-16
143,224,2022-04-23
144,92,2022-02-14
145,229,2022-12-09
146,72,2022-06-12
147,36,2022-04-03
148,124,2022-02-13
149,98,2022-11-04
150,46,2022-05-19
151,18,2022-01-09
152,46,2022-11-23
153,201,2022-05-13
154,231,2022-02-25
155,139,2022-01-08
156,213,2022-06-04
157,211,2022-03-10
158,104,2022-05-28
159,178,2022-08-19
160,109,2022-08-16
161,50,2022-07-13
162,29,2022-06-17
163,212,2022-04-01
164,163,2022-12-26
165,60,2022-07-19
166,167,2022-04-04
167,113,2022-04-24
168,15,2022-09-24
169,102,2022-10-14
170,110,2022-06-23
171,115,2022-12-20
172,10,2022-01-27
173,88,2022-03-16
174,70,2022-05-21
175,96,2022-07-28
176,134,2022-08-23
177,31,2022-01-26
178,115,2022-08-03
179,166,2022-11-28
180,181,2022-10-14
181,91,2022-02-16
182,89,2022-01-18
183,152,2022-06-01
184,107,2022-04-30
185,158,2022-06-29
186,228,2022-12-17
187,52,2022-03-08
188,24,2022-02-11
189,179,2022-09-15
190,54,2022-05-11
191,219,2022-03-19
192,9,2022-06-19
193,48,2022-09-27
194,127,2022-01-13
195,139,2022-03-14
196,134,2022-01-12
197,45,2022-03-21
198,143,2022-01-31
199,147,2022-10-28
200,61,2022-11-03
201,189,2022-06-15
202,211,2022-06-03
203,137,2022-01-02
204,153,2022-07-21
205,1,2022-10-16
206,53,2022-08-09
207,55,2022-02-14
208,68,2022-08-23
209,200,2022-08-28
210,16,2022-05-25
211,112,2022-06-17
212,38,2022-05-09
213,27,2022-04-25
214,163,2022-08-29
215,61,2022-03-27
216,220,2022-12-28
217,134,2022-01-18
218,25,2022-05-17
219,53,2022-09-13
